masked.ip.id,age,gender,ethnicity,hispanic,SubjectId,Captcha1,Captcha2,Consent,UseData,BlackSuspect,RaceCheck,GenderCheck,WeaponCheck,PrintCheck,WhiteSuspect,RaceCheck_w,GenderCheck_w,WeaponCheck_w,PrintCheck_w,Masculine_1,Masculine_2,Masculine_3,Masculine_4,Masculine_5,Feminine_7,Feminine_8,Feminine_9,Feminine_10,SuspectPain_1,SuspectPain_2,SuspectPain_3,SuspectFault_1,SuspectFault_2,SuspectFault_3,OfficerFault_1,OfficerFault_2,OfficerFault_3,BeneSexism_1,BeneSexism_2,BeneSexism_3,BeneSexism_4,BeneSexism_5,HostSexism_1,HostSexism_2,HostSexism_3,HostSexism_4,HostSexism_5,HostSexism_6
256,56,2,1,1,9637,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,87,96,64,72,30,23,15,0,13,93,97,93,100,100,100,23,13,3,3,3,3,4,3,3,1,4,3,4,2
257,69,2,1,1,2790,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,21,41,100,100,100,100,82,100,58,100,100,100,19,8,0,6,5,6,4,6,2,2,3,1,1,1
258,58,2,1,1,4023,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,38,2,1,1,2465,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,27,74,51,51,51,0,0,0,91,21,40,9,90,70,62,20,20,30,4,2,4,5,6,1,1,1,1,3,1
260,36,1,1,1,7410,1,Blue and bold font,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6,6,6,6,6,6,6,6,6,6,6
261,67,1,1,1,5357,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,63,62,70,61,62,0,0,0,0,95,100,19,100,100,100,0,0,1,1,1,1,1,1,1,1,1,1,1,1
262,70,2,1,1,3234,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,26,2,1,1,3618,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,28,74,19,18,20,18,16,19,22,63,41,100,33,76,63,63,7,6,6,6,6,3,4,1,1,1,1,1,1
264,52,1,7,1,9112,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,72,66,73,71,68,40,41,41,61,71,67,66,63,67,43,65,71,64,4,4,5,5,4,1,2,2,2,2,2
265,55,2,1,1,8036,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,100,100,100,100,100,0,0,0,0,26,26,26,100,100,100,0,0,0,4,2,5,4,3,1,1,1,1,1,1
266,50,2,1,1,3451,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,37,36,21,22,22,9,51,8,51,51,84,53,50,50,71,50,50,30,4,2,4,1,4,4,3,4,3,3,3
267,43,2,1,1,9374,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,0,56,55,54,51,55,48,45,49,46,49,49,54,61,62,75,54,48,44,3,3,4,3,3,4,3,3,3,3,3
268,60,2,1,1,9685,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,88,76,91,88,91,5,6,15,15,78,100,100,100,100,100,100,100,9,6,4,4,4,3,2,2,2,1,1,1
269,66,2,2,1,3300,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,77,81,81,69,31,13,14,15,15,95,93,93,51,51,12,51,51,2,4,2,4,4,4,2,2,2,2,2,2
270,33,2,5,1,2689,1,cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,100,99,94,100,47,11,6,0,0,100,100,100,95,94,100,100,0,0,1,1,1,6,6,1,1,1,1,1,1
271,33,1,1,1,4877,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,67,34,65,21,66,27,35,12,31,69,70,33,73,34,26,84,60,38,5,4,6,5,3,4,5,4,2,5,3
272,31,2,1,1,5947,1,Cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,46,41,77,45,62,26,86,26,85,33,45,29,50,50,0,60,60,0,1,1,6,1,1,1,1,1,1,1,1
273,26,2,1,1,5976,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,58,63,64,0,52,36,69,51,72,64,91,85,62,51,62,94,100,83,4,5,6,6,6,1,1,1,1,1,1
274,34,1,1,1,3492,1,CAP,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,43,58,59,54,58,63,67,61,40,43,64,43,66,73,78,63,70,1,1,2,3,3,3,6,6,5,5,4,3
275,41,2,10,1,2192,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,95,95,94,95,95,0,1,0,0,55,63,74,95,97,95,9,6,5,6,1,6,6,1,6,6,6,6,6,6
276,64,2,1,1,5816,1,cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,100,98,100,100,100,0,0,0,0,100,100,74,100,100,100,100,0,0,4,1,6,6,1,1,1,1,1,1,1
277,28,2,15,3,1863,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,68,64,40,35,35,32,32,44,32,29,86,62,79,79,92,21,52,70,4,3,3,5,5,3,2,2,1,2,3
278,52,2,2,1,5284,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,67,61,24,37,71,71,18,66,59,62,29,68,97,91,71,20,11,17,4,5,6,3,3,3,4,3,3,3,2
279,43,2,8,1,3823,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,77,74,76,73,71,5,7,7,10,27,19,28,14,18,23,21,29,24,5,5,5,5,3,3,4,3,3,5,3
280,66,2,1,1,8575,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,55,60,55,55,50,40,45,40,40,50,70,45,75,65,60,60,40,35,2,1,2,1,1,1,4,3,1,2,2
281,54,2,1,1,2752,1,cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,51,51,51,51,28,26,30,31,31,76,79,58,80,71,68,82,41,39,2,2,1,2,2,4,3,3,4,2,5
282,37,2,1,1,7370,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,46,48,53,57,42,42,34,58,65,80,100,18,90,83,100,25,25,0,5,3,5,6,5,2,6,6,6,3,5
283,22,2,3,2,1646,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,70,81,75,65,40,5,5,15,10,10,13,95,95,85,60,60,70,20,4,5,6,2,5,2,1,2,1,1,2
284,72,2,1,1,5445,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,84,84,81,67,87,67,11,4,15,66,68,57,84,88,93,56,58,36,5,5,5,5,5,4,4,5,4,4,4
285,21,1,2,1,8005,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,66,43,58,42,26,80,64,43,27,65,43,60,37,70,35,37,81,38,3,5,3,5,4,6,5,4,3,4,4
286,64,2,1,1,8270,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,61,80,58,88,56,28,52,53,13,57,72,30,91,91,96,45,20,20,3,3,3,4,3,4,4,4,3,1,3
287,30,1,4,1,4836,1,CAP,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,15,22,100,96,79,91,90,73,21,90,81,92,94,78,92,90,77,97,6,5,5,6,5,6,5,4,6,5,4
288,58,2,1,1,5626,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,54,85,91,53,52,4,33,11,13,95,96,60,75,76,60,25,26,40,1,4,5,5,4,1,1,1,1,1,1
289,48,2,16,1,5578,1,Cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,51,50,51,51,51,51,51,51,51,65,94,57,50,50,50,55,50,50,4,3,4,3,3,3,3,3,3,3,3
290,59,1,1,1,4922,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,2,1,1,7418,1,BLUE,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,44,44,52,62,52,60,58,62,58,60,57,61,61,64,65,60,59,59,3,6,4,6,4,1,3,2,1,1,1
292,58,2,1,1,7789,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,22,1,2,1,9779,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,89,78,62,91,78,68,75,79,69,82,71,81,72,89,80,61,77,67,4,6,5,4,4,4,5,4,4,5,4
294,60,2,2,1,3468,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,84,83,99,30,10,0,0,0,100,82,100,84,100,99,9,0,0,0,5,4,6,6,6,1,2,2,2,2,2
295,30,1,1,1,2672,1,CAP,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,63,69,70,72,64,72,66,64,66,68,64,78,65,70,70,72,69,73,6,6,6,6,6,5,5,6,5,6,5
296,23,2,1,1,2146,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,0,0,1,74,76,69,72,67,67,72,73,78,76,72,74,68,64,75,69,78,73,4,3,4,4,3,4,3,4,3,4,3
297,55,2,1,1,1285,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,79,86,52,73,65,9,12,14,11,86,92,65,95,92,76,27,28,7,5,3,3,4,3,1,1,1,1,1,1
298,67,2,2,1,7414,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,38,1,1,1,1134,1,cap,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,100,99,99,100,100,100,100,99,100,99,100,100,100,100,100,100,100,100,6,6,6,6,6,6,6,6,6,5,6
300,72,2,1,1,9191,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,52,84,51,42,61,21,20,21,30,73,84,41,82,72,73,30,29,9,3,2,3,1,5,1,4,5,5,4,5
301,28,2,1,3,6865,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,26,23,71,77,32,76,72,76,29,74,73,72,23,38,76,78,75,71,2,1,3,4,2,2,2,4,5,1,2
302,19,2,2,1,2118,1,Cap,1,1,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,76,0,27,22,26,23,10,17,25,70,10,17,35,12,37,9,2,2,2,2,2,3,4,4,3,3,2
